time,open,high,low,close,volume
2026-01-01 00:00:00,0.583,0.584,0.5829,0.5839,1000.0
2026-01-01 02:00:00,0.5839,0.5852,0.5838,0.5851,1000.0
2026-01-01 04:00:00,0.5851,0.5868,0.585,0.5867,1000.0
2026-01-01 06:00:00,0.5867,0.5885,0.5866,0.5883,1000.0
2026-01-01 08:00:00,0.5883,0.59,0.5882,0.5899,1000.0
2026-01-01 10:00:00,0.5899,0.591,0.5898,0.5908,1000.0
2026-01-01 12:00:00,0.5908,0.5909,0.5897,0.5899,1000.0
2026-01-01 14:00:00,0.5899,0.59,0.5882,0.5884,1000.0
2026-01-01 16:00:00,0.5884,0.5887,0.587,0.5872,1000.0
2026-01-01 18:00:00,0.5872,0.5874,0.5855,0.5857,1000.0
2026-01-01 20:00:00,0.5857,0.5859,0.584,0.5842,1000.0
2026-01-01 22:00:00,0.5842,0.5844,0.5828,0.583,1000.0
2026-01-02 00:00:00,0.583,0.5832,0.5815,0.5817,1000.0
2026-01-02 02:00:00,0.5817,0.582,0.5803,0.5805,1000.0
2026-01-02 04:00:00,0.5805,0.5808,0.5795,0.5797,1000.0
2026-01-02 06:00:00,0.5797,0.582,0.5796,0.5818,1000.0
2026-01-02 08:00:00,0.5818,0.584,0.5817,0.5838,1000.0
2026-01-02 10:00:00,0.5838,0.585,0.5837,0.5848,1000.0
2026-01-02 12:00:00,0.5848,0.5849,0.5832,0.5834,1000.0
2026-01-02 14:00:00,0.5834,0.5836,0.582,0.5822,1000.0
2026-01-02 16:00:00,0.5822,0.5828,0.5815,0.5827,1000.0
2026-01-02 18:00:00,0.5827,0.5852,0.5826,0.5851,1000.0
2026-01-02 20:00:00,0.5851,0.587,0.585,0.5868,1000.0
2026-01-02 22:00:00,0.5868,0.5882,0.5867,0.588,1000.0
2026-01-03 00:00:00,0.588,0.5882,0.584,0.5842,1000.0
2026-01-03 02:00:00,0.5842,0.5844,0.5828,0.583,1000.0
2026-01-03 04:00:00,0.583,0.5832,0.5814,0.5822,1000.0
2026-01-03 06:00:00,0.5822,0.5828,0.582,0.5827,1000.0
2026-01-03 08:00:00,0.5827,0.5836,0.5826,0.5835,1000.0
2026-01-03 10:00:00,0.5835,0.5846,0.5834,0.5845,1000.0
2026-01-03 12:00:00,0.5845,0.5856,0.5844,0.5855,1000.0
2026-01-03 14:00:00,0.5855,0.5862,0.5854,0.5861,1000.0
2026-01-03 16:00:00,0.5861,0.5868,0.586,0.5867,1000.0
2026-01-03 18:00:00,0.5867,0.5874,0.5866,0.5873,1000.0
2026-01-03 20:00:00,0.5873,0.588,0.5872,0.5879,1000.0
